conv1.double_conv2d.0.weight,conv1.0.weight
conv1.double_conv2d.0.bias,conv1.0.bias
conv1.double_conv2d.2.weight,conv1.2.weight
conv1.double_conv2d.2.bias,conv1.2.bias
conv2.double_conv2d.0.weight,conv2.0.weight
conv2.double_conv2d.0.bias,conv2.0.bias
conv2.double_conv2d.2.weight,conv2.2.weight
conv2.double_conv2d.2.bias,conv2.2.bias
conv3.double_conv2d.0.weight,conv3.0.weight
conv3.double_conv2d.0.bias,conv3.0.bias
conv3.double_conv2d.2.weight,conv3.2.weight
conv3.double_conv2d.2.bias,conv3.2.bias
conv4.double_conv2d.0.weight,conv4.0.weight
conv4.double_conv2d.0.bias,conv4.0.bias
conv4.double_conv2d.2.weight,conv4.2.weight
conv4.double_conv2d.2.bias,conv4.2.bias
conv5.double_conv2d.0.weight,conv5.0.weight
conv5.double_conv2d.0.bias,conv5.0.bias
conv5.double_conv2d.2.weight,conv5.2.weight
conv5.double_conv2d.2.bias,conv5.2.bias
up6.weight,up6.weight
up6.bias,up6.bias
conv6.double_conv2d.0.weight,conv6.0.weight
conv6.double_conv2d.0.bias,conv6.0.bias
conv6.double_conv2d.2.weight,conv6.2.weight
conv6.double_conv2d.2.bias,conv6.2.bias
up7.weight,up7.weight
up7.bias,up7.bias
conv7.double_conv2d.0.weight,conv7.0.weight
conv7.double_conv2d.0.bias,conv7.0.bias
conv7.double_conv2d.2.weight,conv7.2.weight
conv7.double_conv2d.2.bias,conv7.2.bias
up8.weight,up8.weight
up8.bias,up8.bias
conv8.double_conv2d.0.weight,conv8.0.weight
conv8.double_conv2d.0.bias,conv8.0.bias
conv8.double_conv2d.2.weight,conv8.2.weight
conv8.double_conv2d.2.bias,conv8.2.bias
up9.weight,up9.weight
up9.bias,up9.bias
conv9.double_conv2d.0.weight,conv9.0.weight
conv9.double_conv2d.0.bias,conv9.0.bias
conv9.double_conv2d.2.weight,conv9.2.weight
conv9.double_conv2d.2.bias,conv9.2.bias
conv10.weight,conv10.weight
conv10.bias,conv10.bias
